ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
2.656,B,Veterans Ave. between E. 66 St. and E 68 St.,Hickman Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B330/,11234
1.035,B,Fulton St. between Saratoga Ave. and Hopkinson Ave.,Fish Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B325/,11233
2.984,B,Ave. K between E. 58 St. and E. 59 St.,Jacob Joffe Fields,Community Park,http://www.nycgovparks.org/parks/B324/,11234
0.326,X,Perry Ave. bet. E. 205 St. and E. 208 St,Whalen Playground,Triangle/Plaza,http://www.nycgovparks.org/parks/X180/,10467
0.917,B,Dekalb Ave. between Adelphi St. and Carlton Ave.,Edmonds Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B321/,11205
0.955,B,Berkeley Pl. and Lincoln Pl. between 5 Ave. and 6 Ave.,Park Slope Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B320/,11217
0.826,B,Ave. F bet. McDonald Ave. and E. 2 St.,DiGilio Playground,Community Park,http://www.nycgovparks.org/parks/B316/,11218
1.051,Q,"B 80 St., B 79 St., Rockaway Beach Blvd., Beach Channel Dr.",Beach Channel Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q403/,11693
0.959,B,Berriman St. between Vandalia Ave. and Schroeders Ave.,Berriman Playground,Playground,,11239
1,B,Stanley Ave. and Eldert La.,Pink Playground,Playground,http://www.nycgovparks.org/parks/B309/,11208
0.926,B,Evergreen Ave. between Eldert St. and Covert St.,Tiger Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B307/,11207
1.326,B,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",Marc And Jason's Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B284/,11225
35.311,X,St Mary's St bet. St Ann's Av and Jackson Av,St. Mary's Park,Community Park,http://www.nycgovparks.org/parks/X045/,1045410455
0.934,B,Bath Ave. between Bay 22 St. and Bay 23 St.,Benson Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B277/,11214
3.403,B,"Shore Pkwy., Brighton 3 St., Brighton 4 St.",Grady Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B275/,11235
1.21,B,Seaview Ave. between E. 99 St. and E. 101 St.,Bayview Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B274/,11236
5.888,B,"Winthrop St., Brooklyn Ave., Rutland Rd.",Wingate Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/B254/,11203
2.387,B,Ave. Z between W. 1 St. and West St.,West Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B252/,11223
3.023,B,Nostrand Ave. between Foster Ave. and Farragut Pl.,Nostrand Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B250/,11210
1.894,B,Ave. V between Nostrand Ave. and Batchelder St.,Herman Dolgon Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B235/,11229
1.19,B,Tilden Ave. between E. 48 St. and E. 49 St.,Tilden Playground,Neighborhood Park,http://www.nycgovparks.org/parks/B234/,11203
1.041,B,Wyckoff St. between Hoyt St. and Bond St.,Nicholas Naquan Heyward Jr. Park,Neighborhood Park,http://www.nycgovparks.org/parks/B230/,11217
3.361,M,"Canal St, Essex St, Jefferson St and E Broadway",Seward Park,Neighborhood Park,http://www.nycgovparks.org/parks/M082/,10002
0.876,Q,137 St. bet. 76 Ave. and 76 Rd.,Queens Valley Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q212/,11367
0.626,B,Middagh St. between Columbia Heights & Furman St.,Squibb Park,Neighborhood Park,http://www.nycgovparks.org/parks/B223F/,11201
0.287,X,Jerome Av bet. E 174 St and the Cross Bronx Exwy Entrance Ramp,Jennie Jerome Playground,Playground,http://www.nycgovparks.org/parks/X148C5/,10453
8.833,Q,Guy R. Brewer Blvd. bet. 130 Ave. and 137 Ave.,Rochdale Park,Jointly Operated Playground,http://www.nycgovparks.org/parks/Q413/,11434
6.3,B,"Nassau St., Sands St. bet. Manh. Bridge and Gold St.",Trinity Park,Parkway,http://www.nycgovparks.org/parks/B223K/,11201
